,S1_index,S1_Gfront,S1_cellTemp,S1_DCP String 1 [W],S1_DNI,S1_DHI,S1_Alb,S2_index,S2_Gfront,S2_cellTemp,S2_DCP String 1 [W],S3_index,S3_Gfront,S3_cellTemp,S3_DCP String 1 [W],S3_DNI,S3_DHI,S3_Alb,S4_index,S4_Gfront,S4_Grear,S4_cellTemp,S4_DCP String 1 [W],S5_index,S5_Gfront,S5_cellTemp,S5_DCP String 1 [W],S6_index,S6_Gfront,S6_Grear,S6_cellTemp,S6_DCP String 1 [W]
24,2020-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 01:00:00,0.0,0.0,0.0,2020-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 01:00:00,0.0,0.0,0.0,0.0,2020-01-02 01:00:00,0.0,0.0,0.0,2020-01-02 01:00:00,0.0,0.0,0.0,0.0
25,2020-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 02:00:00,0.0,0.0,0.0,2020-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 02:00:00,0.0,0.0,0.0,0.0,2020-01-02 02:00:00,0.0,0.0,0.0,2020-01-02 02:00:00,0.0,0.0,0.0,0.0
26,2020-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 03:00:00,0.0,0.0,0.0,2020-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 03:00:00,0.0,0.0,0.0,0.0,2020-01-02 03:00:00,0.0,0.0,0.0,2020-01-02 03:00:00,0.0,0.0,0.0,0.0
27,2020-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 04:00:00,0.0,0.0,0.0,2020-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 04:00:00,0.0,0.0,0.0,0.0,2020-01-02 04:00:00,0.0,0.0,0.0,2020-01-02 04:00:00,0.0,0.0,0.0,0.0
28,2020-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 05:00:00,0.0,0.0,0.0,2020-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 05:00:00,0.0,0.0,0.0,0.0,2020-01-02 05:00:00,0.0,0.0,0.0,2020-01-02 05:00:00,0.0,0.0,0.0,0.0
29,2020-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 06:00:00,0.0,0.0,0.0,2020-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 06:00:00,0.0,0.0,0.0,0.0,2020-01-02 06:00:00,0.0,0.0,0.0,2020-01-02 06:00:00,0.0,0.0,0.0,0.0
30,2020-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 07:00:00,0.0,0.0,0.0,2020-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 07:00:00,0.0,0.0,0.0,0.0,2020-01-02 07:00:00,0.0,0.0,0.0,2020-01-02 07:00:00,0.0,0.0,0.0,0.0
31,2020-01-02 08:00:00,8.054058051676716,0.39370143494824106,25.096116495884463,0.060224197804927826,10.421882629394531,0.19200000166893005,2020-01-02 08:00:00,8.054058051676716,0.4109272894247624,20.946143972911674,2020-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 08:00:00,0.0,0.0,0.0,0.0,2020-01-02 08:00:00,0.0,0.0,0.0,2020-01-02 08:00:00,0.0,0.0,0.0,0.0
32,2020-01-02 09:00:00,54.3379317236756,0.8032063134112377,211.26113758870608,0.7964918613433838,64.93025970458984,0.19200000166893005,2020-01-02 09:00:00,54.3379317236756,0.9138970536677107,178.95366378937786,2020-01-02 09:00:00,3.2660690901282723,2.8856202866770673,23.3526393388227,0.23940925300121307,3.6227381229400635,0.19200000166893005,2020-01-02 09:00:00,3.2660690901282723,0.34969415486105715,2.882822270704537,24.590851895680817,2020-01-02 09:00:00,3.0909784687200776,2.8823969355978534,22.038075974697488,2020-01-02 09:00:00,3.0909784687200776,0.4050046096336794,2.879742137613391,23.56648645050702
33,2020-01-02 10:00:00,251.55843586872453,3.5673469595346887,1007.5849991599002,127.12947082519531,162.21043395996094,0.19200000166893005,2020-01-02 10:00:00,251.55843586872453,4.077538784392516,858.6483972972152,2020-01-02 10:00:00,16.02206611941204,3.229885333478421,130.45454120785706,0.2617824971675873,18.53561782836914,0.19200000166893005,2020-01-02 10:00:00,16.02206611941204,1.7983628634384516,3.2154247352740413,136.88719217625518,2020-01-02 10:00:00,15.17152750821902,3.214918401600528,123.21946308072197,2020-01-02 10:00:00,15.17152750821902,1.9265628063182503,3.201221731239798,130.52812737412427
34,2020-01-02 11:00:00,129.09546424344367,2.095574042467831,507.0000700176569,12.937410354614258,143.797607421875,0.19200000166893005,2020-01-02 11:00:00,129.09546424344367,2.359197354392961,431.14550115267036,2020-01-02 11:00:00,18.407813495970334,3.404823476832462,245.9082030155006,0.26728129386901855,29.96103286743164,0.19200000166893005,2020-01-02 11:00:00,18.407813495970334,7.3439360131447575,3.3813633015772666,289.9041990434156,2020-01-02 11:00:00,24.504898018086102,3.530775496987644,305.0681944695616,2020-01-02 11:00:00,24.504898018086102,3.1146559202917685,3.4995392523229043,322.13202410139826
35,2020-01-02 12:00:00,73.16705543984504,1.5138471204558073,281.68841709836425,0.2528635561466217,93.37456512451172,0.19200000166893005,2020-01-02 12:00:00,73.16705543984504,1.684903670808751,238.8260268796669,2020-01-02 12:00:00,40.36836692160182,3.596675219198289,522.6353567127388,0.2630906403064728,54.784629821777344,0.19200000166893005,2020-01-02 12:00:00,40.36836692160182,8.857862348050086,3.54298523965997,582.5408208270628,2020-01-02 12:00:00,47.63386813291526,3.7533313145081593,620.5941897934408,2020-01-02 12:00:00,47.63386813291526,5.559159788550514,3.6899402658330587,649.440727374781
36,2020-01-02 13:00:00,121.78882020322582,2.68561247526884,473.78099532207784,1.3674882650375366,147.84422302246094,0.19200000166893005,2020-01-02 13:00:00,121.78882020322582,2.9672595905277035,402.408706474079,2020-01-02 13:00:00,68.77956701419632,4.170829215184483,910.1800398168716,2.918696641921997,78.47783660888672,0.19200000166893005,2020-01-02 13:00:00,68.77956701419632,7.488338737343066,4.081684368264064,946.7033180956896,2020-01-02 13:00:00,76.07464534516514,4.317883637215232,1010.1066288549656,2020-01-02 13:00:00,76.07464534516514,7.616943705439219,4.219494934640068,1044.5470494308006
37,2020-01-02 14:00:00,499.1913538910113,9.031551761829633,1958.3650589195834,234.63267517089844,290.5946044921875,0.19200000166893005,2020-01-02 14:00:00,499.1913538910113,10.16036911659586,1662.8587565249743,2020-01-02 14:00:00,26.672471817848407,3.538346824413793,365.06051632658074,0.3460790514945984,42.613014221191406,0.19200000166893005,2020-01-02 14:00:00,26.672471817848407,10.303767016346134,3.498482900650515,427.920496156708,2020-01-02 14:00:00,35.58551338422047,3.753471795051155,455.43054188974037,2020-01-02 14:00:00,35.58551338422047,4.403778346064188,3.7002812713001845,479.26195003644244
38,2020-01-02 15:00:00,161.48036189104982,3.8527504490645583,637.9063255993347,1.021562099456787,181.70248413085938,0.19200000166893005,2020-01-02 15:00:00,161.48036189104982,4.194050959580522,542.0860174709924,2020-01-02 15:00:00,15.54611609176755,3.3253250549814766,183.78025959366425,0.23212935030460358,20.163421630859375,0.19200000166893005,2020-01-02 15:00:00,15.54611609176755,2.7319301465705745,3.303665946280262,200.32986510654086,2020-01-02 15:00:00,16.485871875812542,3.3470290717824014,195.39912359688276,2020-01-02 15:00:00,16.485871875812542,2.091523684104742,3.32404902251011,206.62487593150695
39,2020-01-02 16:00:00,92.69179391989829,2.6296964810862846,365.0376867793098,0.2842765748500824,105.75143432617188,0.19200000166893005,2020-01-02 16:00:00,92.69179391989829,2.8320178987362397,309.61035973098876,2020-01-02 16:00:00,4.490663370103322,2.9643832341228062,32.622865504013674,0.19557107985019684,4.981101036071777,0.19200000166893005,2020-01-02 16:00:00,4.490663370103322,0.4864539505637686,2.9599650629899656,34.33277721344071,2020-01-02 16:00:00,4.226525276652097,2.958908774625854,30.61012407395548,2020-01-02 16:00:00,4.226525276652097,0.5568705849051274,2.9547417832754377,32.703142135356025
40,2020-01-02 17:00:00,19.20290684952534,0.7681885760397904,68.85256215511554,1.1386542320251465,24.32500648498535,0.19200000166893005,2020-01-02 17:00:00,19.20290684952534,0.8124832403053119,57.87557547781248,2020-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 17:00:00,0.0,0.0,0.0,0.0,2020-01-02 17:00:00,0.0,0.0,0.0,2020-01-02 17:00:00,0.0,0.0,0.0,0.0
41,2020-01-02 18:00:00,4.536206396196967,0.45295591093440635,13.815890174108706,9.867635726928711,3.102355480194092,0.19200000166893005,2020-01-02 18:00:00,4.536206396196967,0.4667516436516621,11.47507994478367,2020-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 18:00:00,0.0,0.0,0.0,0.0,2020-01-02 18:00:00,0.0,0.0,0.0,2020-01-02 18:00:00,0.0,0.0,0.0,0.0
42,2020-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 19:00:00,0.0,0.0,0.0,2020-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 19:00:00,0.0,0.0,0.0,0.0,2020-01-02 19:00:00,0.0,0.0,0.0,2020-01-02 19:00:00,0.0,0.0,0.0,0.0
43,2020-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 20:00:00,0.0,0.0,0.0,2020-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 20:00:00,0.0,0.0,0.0,0.0,2020-01-02 20:00:00,0.0,0.0,0.0,2020-01-02 20:00:00,0.0,0.0,0.0,0.0
44,2020-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 21:00:00,0.0,0.0,0.0,2020-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 21:00:00,0.0,0.0,0.0,0.0,2020-01-02 21:00:00,0.0,0.0,0.0,2020-01-02 21:00:00,0.0,0.0,0.0,0.0
45,2020-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 22:00:00,0.0,0.0,0.0,2020-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 22:00:00,0.0,0.0,0.0,0.0,2020-01-02 22:00:00,0.0,0.0,0.0,2020-01-02 22:00:00,0.0,0.0,0.0,0.0
46,2020-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 23:00:00,0.0,0.0,0.0,2020-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-02 23:00:00,0.0,0.0,0.0,0.0,2020-01-02 23:00:00,0.0,0.0,0.0,2020-01-02 23:00:00,0.0,0.0,0.0,0.0
47,2020-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 00:00:00,0.0,0.0,0.0,2020-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 00:00:00,0.0,0.0,0.0,0.0,2020-01-03 00:00:00,0.0,0.0,0.0,2020-01-03 00:00:00,0.0,0.0,0.0,0.0
48,2020-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 01:00:00,0.0,0.0,0.0,2020-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 01:00:00,0.0,0.0,0.0,0.0,2020-01-03 01:00:00,0.0,0.0,0.0,2020-01-03 01:00:00,0.0,0.0,0.0,0.0
49,2020-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 02:00:00,0.0,0.0,0.0,2020-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 02:00:00,0.0,0.0,0.0,0.0,2020-01-03 02:00:00,0.0,0.0,0.0,2020-01-03 02:00:00,0.0,0.0,0.0,0.0
50,2020-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 03:00:00,0.0,0.0,0.0,2020-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 03:00:00,0.0,0.0,0.0,0.0,2020-01-03 03:00:00,0.0,0.0,0.0,2020-01-03 03:00:00,0.0,0.0,0.0,0.0
51,2020-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 04:00:00,0.0,0.0,0.0,2020-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 04:00:00,0.0,0.0,0.0,0.0,2020-01-03 04:00:00,0.0,0.0,0.0,2020-01-03 04:00:00,0.0,0.0,0.0,0.0
52,2020-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 05:00:00,0.0,0.0,0.0,2020-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 05:00:00,0.0,0.0,0.0,0.0,2020-01-03 05:00:00,0.0,0.0,0.0,2020-01-03 05:00:00,0.0,0.0,0.0,0.0
53,2020-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 06:00:00,0.0,0.0,0.0,2020-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 06:00:00,0.0,0.0,0.0,0.0,2020-01-03 06:00:00,0.0,0.0,0.0,2020-01-03 06:00:00,0.0,0.0,0.0,0.0
54,2020-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 07:00:00,0.0,0.0,0.0,2020-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 07:00:00,0.0,0.0,0.0,0.0,2020-01-03 07:00:00,0.0,0.0,0.0,2020-01-03 07:00:00,0.0,0.0,0.0,0.0
55,2020-01-03 08:00:00,94.44126210298612,-1.589687656367687,323.03200006218276,253.55975341796875,13.68669319152832,0.19200000166893005,2020-01-03 08:00:00,94.44126210298612,-1.2317137390225525,274.88376882131445,2020-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.19200000166893005,2020-01-03 08:00:00,0.0,0.0,0.0,0.0,2020-01-03 08:00:00,0.0,0.0,0.0,2020-01-03 08:00:00,0.0,0.0,0.0,0.0
56,2020-01-03 09:00:00,416.0166711535526,4.417889390954997,1676.2770570573073,766.7520141601562,34.22419738769531,0.19200000166893005,2020-01-03 09:00:00,416.0166711535526,5.483492481533801,1429.1659375087336,2020-01-03 09:00:00,1.2450593088548094,0.0,0.0,0.22711743414402008,1.3798197507858276,0.19200000166893005,2020-01-03 09:00:00,1.2450593088548094,0.1331964931235404,0.0,0.0,2020-01-03 09:00:00,1.2094923985519328,0.0,0.0,2020-01-03 09:00:00,1.2094923985519328,0.15426058366000076,0.0,0.0
